Start:18:29 09-12
Header Write:18:29 09-12
Loop:18:32:02 09-12 Lat:42.692286935 Long:23.344451304
Coord-Write:18:32 09-12 Lat:42.692321175 Long:23.344477012
Loop:18:32:04 09-12 Lat:42.692321175 Long:23.344477012
Coord-Write:18:32 09-12 Lat:42.692467179 Long:23.344722421
Loop:18:32:06 09-12 Lat:42.692467179 Long:23.344722421
Coord-Write:18:32 09-12 Lat:42.692545588 Long:23.344850727
Loop:18:32:08 09-12 Lat:42.692545588 Long:23.344850727
Coord-Write:18:32 09-12 Lat:42.692615601 Long:23.344956628
Loop:18:32:10 09-12 Lat:42.692615601 Long:23.344956628
Coord-Write:18:32 09-12 Lat:42.692664606 Long:23.345036819
Loop:18:32:12 09-12 Lat:42.692664606 Long:23.345036819
Coord-Write:18:32 09-12 Lat:42.69268522 Long:23.345064061
Loop:18:32:14 09-12 Lat:42.69268522 Long:23.345064061
Loop:18:32:16 09-12 Lat:42.69268522 Long:23.345064061
Coord-Write:18:32 09-12 Lat:42.692705589 Long:23.345123379
Loop:18:32:18 09-12 Lat:42.692705589 Long:23.345123379
Coord-Write:18:32 09-12 Lat:42.692748618 Long:23.345169962
Loop:18:32:20 09-12 Lat:42.692748618 Long:23.345169962
Coord-Write:18:32 09-12 Lat:42.692797496 Long:23.345189303
Loop:18:32:22 09-12 Lat:42.692797496 Long:23.345189303
Coord-Write:18:32 09-12 Lat:42.692867256 Long:23.345173502
Loop:18:32:24 09-12 Lat:42.692867256 Long:23.345173502
Coord-Write:18:32 09-12 Lat:42.692880116 Long:23.345144728
Loop:18:32:26 09-12 Lat:42.692880116 Long:23.345144728
Coord-Write:18:32 09-12 Lat:42.692890557 Long:23.345127157
Loop:18:32:28 09-12 Lat:42.692890557 Long:23.345127157
Loop:18:32:31 09-12 Lat:42.692890557 Long:23.345127157
Loop:18:32:33 09-12 Lat:42.692890557 Long:23.345127157
Loop:18:32:35 09-12 Lat:42.692890557 Long:23.345127157
Coord-Write:18:32 09-12 Lat:42.692899346 Long:23.345148031
Loop:18:32:37 09-12 Lat:42.692899346 Long:23.345148031
Loop:18:32:39 09-12 Lat:42.692899346 Long:23.345148031
Loop:18:32:41 09-12 Lat:42.692899346 Long:23.345148031
